siteid,TIMESTAMP,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,TA_F_MDS,SW_IN_F_MDS,LW_IN_F_MDS,VPD_F_MDS,CO2_F_MDS,PPFD_IN,GPP_NT_VUT_REF,USTAR
CH-Dav,2006-05-30,-0.776,183.144,270.707,1.077,82.815,5,3.357,-0.776,183.144,295.751,1.077,360.869,372.752,1.81985,0.651210043478
CH-Dav,2006-05-31,-1.081,266.34,257.157,0.77,83.214,1.6,2.568,-1.081,266.34,289.458,0.77,355.607,499.978327896,1.43913,0.463358681818
CH-Dav,2006-06-01,-0.671,165.87,272.287,0.938,83.667,1.9,2.24,-0.671,165.87,278.013,0.938,351.407,342.525271694,1.37258,0.445075844444
CH-Dav,2006-06-02,-0.638,192.126,265.255,1.223,83.857,0.1,2.514,-0.638,192.126,287.734,1.223,377.912,379.002069479,2.49751,0.593154682927
CH-Dav,2006-06-03,1.928,201.997,258.813,1.676,84.054,0.2,1.749,1.928,201.997,306.349,1.676,366.873,406.710375708,2.79164,0.455304094872
CH-Dav,2006-06-04,2.781,104.332,272.575,0.761,83.936,6.4,1.463,2.781,104.332,320.346,0.761,345.444,201.78554225,2.55045,0.344798390909
CH-Dav,2006-06-05,3.239,144.409,272.123,1.385,83.922,1,1.38,3.239,144.409,317.751,1.385,367.739,287.831674354,3.06926,0.326458026316
CH-Dav,2006-06-06,3.7,245.111,271.167,1.981,84.026,2.7,2.189,3.7,245.111,305.959,1.981,360.467,467.423877062,4.28662,0.42295906383
CH-Dav,2006-06-07,4.722,359.532,266.24,4.1,84.198,0,1.774,4.722,359.532,285.796,4.1,372.449,712.547304167,5.11687,0.435663505263
CH-Dav,2006-06-08,7.135,319.976,277.035,4.986,84.25,0,2.059,7.135,319.976,281.099,4.986,371.452,652.676946542,5.15015,0.4115028825
CH-Dav,2006-06-09,8.338,282.872,282.422,5.042,84.193,0,2.057,8.338,282.872,288.428,5.042,371.775,571.129479917,6.35301,0.465201711111
CH-Dav,2006-06-10,10.7,317.24,295.166,6.674,84.175,0,2.155,10.7,317.24,296.204,6.674,371.321,650.909021563,6.13116,0.495344458537
CH-Dav,2006-06-11,12.072,347.605,296.339,7.861,84.304,0,1.956,12.072,347.605,296.339,7.861,373.455,700.589675083,5.20011,0.418482953488
CH-Dav,2006-06-12,13.423,342.985,290.035,7.575,84.484,0,2.246,13.423,342.985,293.453,7.575,372.167,698.5647625,5.62952,0.431270071429
CH-Dav,2006-06-13,14.299,352.427,290.839,8.02,84.377,0,1.93,14.299,352.427,290.839,8.02,374.327,688.04277056,6.53447,0.422436342222
CH-Dav,2007-04-18,6.883,172.726,285.634,3.302,83.74,0,1.897,6.883,172.726,285.634,3.302,386.78,360.572925063,4.14913,0.438085052941
CH-Dav,2007-04-19,7.236,277.153,247.476,4.586,83.607,0,2.005,7.236,277.153,247.476,4.586,384.146,551.749645146,3.2889,0.384068988095
CH-Dav,2007-04-20,8.198,281.091,238.418,5.544,83.64,0,1.792,8.198,281.091,238.418,5.544,381.463,559.721570917,3.10985,0.428765066667
CH-Dav,2007-04-21,8.694,273.895,241.791,6.126,83.787,0,2.219,8.694,273.895,241.791,6.126,380.985,547.04339575,3.11932,0.48808540303
CH-Dav,2007-04-22,9.811,287.966,239.436,7.688,84.09,0,1.85,9.811,287.966,239.436,7.688,381.097,570.324452771,3.59755,0.371074134146
CH-Dav,2007-04-23,9.742,251.875,262.44,6.291,84.262,0,2.01,9.742,251.875,262.44,6.291,380.509,510.694453562,3.52212,0.429861977143
CH-Dav,2007-04-24,9.84,164.254,286.241,5.709,84.052,0,1.533,9.84,164.254,286.241,5.709,378.38,346.737819438,4.17652,0.311274514286
CH-Dav,2007-04-25,11.353,294.134,260.542,7.988,83.678,0,1.926,11.353,294.134,260.542,7.988,380.122,592.104363125,4.06346,0.381418592308
CH-Dav,2007-04-26,10.427,195.407,294.25,5.325,83.714,9.9,1.791,10.427,195.407,294.25,5.325,362.942,405.858873563,4.43602,0.343565072093
CH-Dav,2007-04-27,8.985,198.051,316.268,3.459,84.012,0.2,2.03,8.985,198.051,316.268,3.459,368.277,376.572388833,3.19515,0.32014169
CH-Dav,2007-04-28,10.081,224.928,283.489,5.144,84.014,0,1.584,10.081,224.928,283.489,5.144,380.388,460.748762583,3.87219,0.390899994595
CH-Dav,2007-04-29,9.893,271.58,290.633,5.174,83.595,0.6,2.062,9.893,271.58,290.633,5.174,368.896,546.8649445,3.64675,0.4797771175
CH-Dav,2007-04-30,6.302,131.068,274.879,2.145,83.144,1.6,2.118,6.302,131.068,274.879,2.145,363.653,272.432810417,5.24804,0.356118686842
CH-Dav,2007-05-01,6.881,166.608,271.459,3.411,83.059,0.5,1.552,6.881,166.608,271.459,3.411,364.701,346.140500771,4.7192,0.335356791667
CH-Dav,2007-05-02,6.578,167.357,270.576,3.64,83.052,0.1,1.346,6.578,167.357,270.576,3.64,369.725,347.781826438,6.49754,0.436125404762
CH-Dav,2007-05-03,5.042,153.053,271.886,3.121,83.033,0.7,1.034,5.042,153.053,271.886,3.121,371.609,313.590625069,5.89794,0.2418186975
CH-Dav,2007-05-04,5.365,118.01,300.56,2.469,82.602,1.5,1.048,5.365,118.01,300.56,2.469,376.058,254.446165979,6.3517,0.324151797436
CH-Dav,2007-05-05,3.281,89.586,310.271,0.55,82.634,3.2,1.8,3.281,89.586,310.271,0.55,356.518,181.882806188,4.35293,0.2548569
CH-Dav,2007-05-06,3.57,59.594,328.206,0.452,83.339,2.1,1.493,3.57,59.594,328.206,0.452,312.983,106.613123625,5.03801,0.346283132558
CH-Dav,2007-05-07,5.485,163.184,305.954,2.173,83.789,0,1.365,5.485,163.184,305.954,2.173,362.36,322.523161125,6.30106,0.317729182857
CH-Dav,2007-05-08,7.642,205.992,317.187,2.854,83.705,1.4,2.52,7.642,205.992,317.187,2.854,356.962,407.682347937,6.90446,0.489619975
CH-Dav,2007-05-09,8.221,221.504,288.948,3.365,83.834,2,2.616,8.221,221.504,288.948,3.365,365.622,439.046931938,5.44786,0.49753605
CH-Dav,2007-05-10,9.017,306.704,246.864,6.737,83.795,0,2.034,9.017,306.704,246.864,6.737,380.511,616.093041667,6.21831,0.38144027027
CH-Dav,2007-05-11,10.026,189.01,303.189,5.584,83.355,2.2,3.239,10.026,189.01,303.189,5.584,366.588,394.919136667,4.3677,0.597709788372
CH-Dav,2007-05-12,9.629,271.505,291.765,3.875,83.473,0,2.491,9.629,271.505,291.765,3.875,376.561,548.267992994,4.60248,0.486256928571
CH-Dav,2007-05-13,11.906,183.823,283.456,7.877,83.489,0,2.895,11.906,183.823,283.456,7.877,380.596,386.988423625,5.82622,0.553667575
CH-Dav,2007-05-14,11.589,126.328,320.238,6.738,83.198,0.1,2.856,11.589,126.328,320.238,6.738,379.17,265.419012583,3.41635,0.885690583333
CH-Dav,2007-05-15,2.128,122.706,310.485,1.204,83.38,0.6,3.448,2.128,122.706,310.485,1.204,353.336,244.353297937,4.17296,0.625530361111
CH-Dav,2007-05-16,3.264,261.472,274.98,2.976,83.306,3.1,1.691,3.264,261.472,274.98,2.976,373.52,528.067574188,4.88934,0.357023068293
CH-Dav,2007-05-17,1.787,80.356,324.768,0.285,83.063,13.7,1.664,1.787,94.549,324.768,0.285,354.838,106.735262423,NA,0.3644529375
CH-Dav,2007-05-18,6.191,269.21,276.398,3.34,83.658,0.9,1.682,6.191,269.21,276.398,3.34,356.733,536.53595,6.38898,0.4057425825
CH-Dav,2007-05-19,10.751,330.161,249.427,7.861,83.581,0,1.82,10.751,330.161,249.427,7.861,380.819,664.798179313,4.6254,0.382421493182
CH-Dav,2007-05-20,13.746,307.719,285.008,8.928,83.573,0,1.652,13.746,307.719,285.008,8.928,380.173,618.872375125,3.8742,0.363819439474
CH-Dav,2007-05-21,13.64,263.733,308.953,7.368,83.862,4,1.95,13.64,263.733,308.953,7.368,369.73,521.761694396,2.77952,0.397668081081
CH-Dav,2007-05-22,12.06,211.86,304.927,4.22,84.048,0,1.892,12.06,211.86,304.927,4.22,378.593,434.027724292,3.67194,0.356716620513
CH-Dav,2007-05-23,12.551,260.611,292.234,5.561,83.945,0.4,1.559,12.551,260.611,292.234,5.561,372.339,540.479131965,3.63737,0.401379484848
CH-Dav,2007-05-24,13.351,236.528,315.621,6.365,83.814,6.9,2.089,13.351,236.528,315.621,6.365,365.066,489.614027687,3.29062,0.3660435
CH-Dav,2007-05-25,12.426,197.646,308.149,5.148,83.551,2.1,1.955,12.426,197.646,308.149,5.148,369.562,402.648006208,5.08931,0.41666362
CH-Dav,2007-05-26,11.224,185.038,319.946,4.108,83.048,0.9,2.757,11.224,185.038,319.946,4.108,354.36,375.293883223,5.95373,0.439459131579
CH-Dav,2007-05-27,10.726,191.989,306.139,5.302,82.372,0.1,2.475,10.726,191.989,306.139,5.302,371.923,389.092653583,8.59637,0.573599358974
CH-Dav,2007-05-28,2.397,92.105,316.396,0.458,81.855,8,3.615,2.397,92.105,316.396,0.458,361.21,182.499326437,NA,0.593133323913
CH-Dav,2007-05-29,0.675,105.875,307.755,0.919,82.505,6.2,4.558,0.675,105.875,307.755,0.919,358.757,216.0594805,3.46049,0.689595446809
CH-Dav,2007-05-30,2.918,336.095,258.844,2.12,83.241,0,1.236,2.918,336.095,258.844,2.12,377.037,665.409498646,5.96791,0.311545075
CH-Dav,2007-05-31,7.288,236.761,307.248,3.199,83.242,2.2,1.805,7.288,236.761,307.248,3.199,367.158,479.046367333,3.70332,0.354687793023
CH-Dav,2007-06-01,4.674,85.908,325.152,0.902,83.245,0.3,2.656,4.674,85.908,325.152,0.902,317.647,176.420876396,5.33262,0.52356923913
CH-Dav,2007-06-02,5.406,245.561,332.499,0.694,83.694,0,2.839,5.406,245.561,332.499,0.694,323.892,472.630154083,3.32764,0.533564465116
CH-Dav,2007-06-03,9.835,215.301,310.758,2.829,83.826,0,2.36,9.835,215.301,310.758,2.829,374.395,440.971799333,6.04307,0.473670928571
CH-Dav,2007-06-04,10.957,229.034,299.948,4.026,83.846,0,1.978,10.957,229.034,299.948,4.026,375.064,487.1038535,3.82619,0.383673157895
CH-Dav,2007-06-05,11.051,255.759,308.77,3.496,83.573,0.7,2.439,11.051,255.759,308.77,3.496,363.278,518.337320146,3.26955,0.456920404651
CH-Dav,2007-06-06,11.813,218.539,308.574,3.833,83.384,0,2.681,11.813,218.539,308.574,3.833,373.088,449.433508354,3.8572,0.448040028947
CH-Dav,2007-06-07,12.647,265.808,321.361,4.537,83.442,3.3,2.354,12.647,265.808,321.361,4.537,375.159,549.68338325,4.88847,0.406383
CH-Dav,2007-06-08,11.355,257.73,341.536,2.303,83.788,0.2,2.331,11.355,257.73,341.536,2.303,365.971,510.905238042,4.58195,0.449446892105
CH-Dav,2007-06-09,11.623,247.612,314.694,4.061,83.897,0,2.212,11.623,247.612,314.694,4.061,359.741,507.255765292,6.61542,0.393745342105
CH-Dav,2007-06-10,11.979,264.844,326.941,5.119,83.773,4.7,2.13,11.979,264.844,326.941,5.119,357.237,538.787966098,6.38623,0.387432707143
CH-Dav,2007-06-11,11.185,164.681,335.385,1.975,83.608,0.1,1.477,11.185,164.681,335.385,1.975,355.061,340.645757652,7.15967,0.300350159524
CH-Dav,2007-06-12,11.872,237.193,340.471,2.95,83.422,1.8,2.37,11.872,237.193,340.471,2.95,342.924,450.802543125,6.75187,0.445408851163
CH-Dav,2007-06-13,10.585,154.764,354.946,1.507,83.328,5.7,2.118,10.585,154.764,354.946,1.507,341.549,320.250122854,5.87068,0.321050716279
CH-Dav,2007-06-14,13.339,294.995,329.664,6.463,83.289,1.4,2.367,13.339,294.995,329.664,6.463,348.32,596.722859104,8.50715,0.413060934783
CH-Dav,2007-06-15,9.325,102.108,350.566,1.512,83.125,3.4,2.261,9.325,102.108,350.566,1.512,334.388,209.234831327,NA,0.427010177778
CH-Dav,2007-06-16,8.403,301.999,296.847,2.605,83.271,0.1,2.7,8.403,301.999,296.847,2.605,408.271,604.226382042,NA,0.465618311628
CH-Dav,2007-06-17,12.726,287.993,303.122,7.336,83.348,20.8,2.366,12.726,287.993,303.122,7.336,377.845,585.264925083,8.15215,0.481984734884
CH-Dav,2007-06-18,12.983,233.996,332.242,4.087,83.589,51.4,2.619,12.983,233.996,332.242,4.087,360.525,474.856784708,6.39838,0.478677163158
CH-Dav,2007-06-19,16.44,328.638,298.789,9.601,83.807,0.7,1.817,16.44,328.638,298.789,9.601,379.113,666.230014479,5.6547,0.360440010811
CH-Dav,2007-06-20,17.404,308.128,312.706,9.364,83.724,0,2.791,17.404,308.128,312.706,9.364,380.211,627.178201479,5.6509,0.508138563415
CH-Dav,2007-06-21,11.69,80.902,343.951,1.372,83.588,2.5,1.817,11.69,80.902,343.951,1.372,355.638,179.996825125,4.10041,0.40535707619
CH-Dav,2007-06-22,8.818,78.281,346.246,0.538,83.439,1.1,2.402,8.818,78.281,346.246,0.538,335.173,158.229681958,5.24849,0.461066463415
CH-Dav,2007-06-23,8.865,264.521,313.809,2.077,83.551,0.3,3.308,8.865,264.521,313.809,2.077,357.037,525.432715979,6.6279,0.577092188889
CH-Dav,2007-06-24,14.322,312.003,315.856,8.249,83.684,0.3,2.383,14.322,312.003,315.856,8.249,374.946,634.324984729,6.12982,0.523250478049
CH-Dav,2007-06-25,12.858,174.854,343.465,4.119,83.217,14,3.058,12.858,174.854,343.465,4.119,341.673,354.784036125,6.06046,0.598590202273
CH-Dav,2007-06-26,6.847,265.649,301.135,2.784,82.916,8.5,2.585,6.847,265.649,301.135,2.784,360.549,512.2316535,6.35146,0.498266522727
CH-Dav,2007-06-27,5.853,173.676,312.315,1.908,83.07,0.3,2.845,5.853,173.676,312.315,1.908,342.917,369.442610396,3.52043,0.51761002439
CH-Dav,2007-06-28,6.789,292.059,304.028,2.217,83.457,0.1,3.785,6.789,292.059,304.028,2.217,366.046,578.192779875,3.19036,0.576943665217
CH-Dav,2007-06-29,10.205,266.864,315.439,3.272,83.689,0.6,2.687,10.205,266.864,315.439,3.272,364.903,537.660310381,4.29084,0.472712832558
CH-Dav,2007-06-30,11.666,241.849,313.502,4.155,83.893,0.6,2.001,11.666,241.849,313.502,4.155,370.273,486.729081938,5.66426,0.367664936111
CH-Dav,2007-07-01,14.402,258.57,316.402,7.834,83.645,2.9,2.121,14.402,258.57,316.402,7.834,366.271,525.246338979,6.6973,0.486949292683
CH-Dav,2007-07-02,7.515,43.776,339.047,0.525,83.404,37.4,1.526,7.515,43.776,339.047,0.525,310.337,88.377922875,2.15067,0.323175130435
CH-Dav,2007-07-03,9.324,187.637,318.42,2.714,83.146,2.9,2.886,9.324,187.637,318.42,2.714,350.857,387.628500667,5.37814,0.4898785
CH-Dav,2007-07-04,5.799,233.009,316.922,1.878,83.073,3.6,3.137,5.799,233.009,316.922,1.878,320.519,453.724868104,5.12433,0.543659707317
CH-Dav,2007-07-05,4.534,122.816,315.361,1.301,83.651,0,1.745,4.534,122.816,315.361,1.301,325.425,234.851457729,3.00136,0.456179688636
CH-Dav,2007-07-06,8.037,111.103,310.473,2.213,83.756,0,1.358,8.037,111.103,310.473,2.213,367.702,231.010222881,4.90682,0.334534020513
CH-Dav,2007-07-07,12.236,318.25,306.837,4.38,83.922,0,2.905,12.236,318.25,306.837,4.38,373.252,637.732513944,4.9639,0.571671961111
CH-Dav,2007-07-08,13.256,204.124,329.322,3.951,83.953,0,2.255,13.256,204.124,329.322,3.951,372.383,414.509694375,7.78336,0.351616
CH-Dav,2007-07-09,7.161,51.54,345.232,0.519,83.49,0,2.535,7.161,51.54,345.232,0.519,304.434,108.274254187,3.97348,0.396698141667
CH-Dav,2007-07-10,4.281,195.393,304.138,1.786,83.348,0,2.416,4.281,195.393,304.138,1.786,347.254,406.656490265,6.05682,0.502071767442
CH-Dav,2007-07-11,5.007,164.358,323.29,1.538,83.558,0,1.803,5.007,164.358,323.29,1.538,338.849,313.746021583,5.07757,0.413117106977
CH-Dav,2007-07-12,7.592,245.49,302.363,3.003,83.95,0,2.302,7.592,245.49,302.363,3.003,367.621,483.946487438,6.3356,0.422669391667
CH-Dav,2007-07-13,13.323,331.782,289.288,7.564,84.115,0,1.91,13.323,331.782,289.288,7.564,373.147,677.671924896,6.94646,0.3673687575
CH-Dav,2007-07-14,17.364,326.677,296.76,9.803,84.267,0.4,2.407,17.364,326.677,296.76,9.803,373.492,667.435061167,7.27355,0.418237564103
CH-Dav,2007-07-15,19.085,331.952,293.113,13.932,84.294,0,2.73,19.085,331.952,293.113,13.932,375.259,670.908786063,8.40477,0.548061875
CH-Dav,2007-07-16,19.099,332.268,280.025,16.565,84.224,0,2.963,19.099,332.268,280.025,16.565,376.812,660.578973,6.38851,0.595728512195
CH-Dav,2007-07-17,17.51,319.61,295.52,10.854,84.166,0,2.421,17.51,319.61,295.52,10.854,378.503,646.407584125,6.95152,0.437856325
CH-Dav,2007-07-18,16.592,308.999,303.904,6.76,84.149,0,3.665,16.592,308.999,303.904,6.76,379.608,629.537506313,6.13043,0.591903902439
CH-Dav,2007-07-19,18.061,334.653,308.689,10.215,83.993,0,2.9,18.061,334.653,308.689,10.215,378.07,671.406152708,7.62156,0.553001742857
CH-Dav,2007-07-20,17.257,242.764,310.417,9.626,83.889,0,2.203,17.257,242.764,310.417,9.626,378.206,484.336174396,7.48449,0.51969532381
CH-Dav,2007-07-21,15.017,229.53,327.914,4.183,83.678,0,2.705,15.017,229.53,327.914,4.183,373.206,467.211160438,5.58068,0.443117309756
CH-Dav,2007-07-22,10.122,253.339,328.789,1.741,83.562,5.3,3.304,10.122,253.339,328.789,1.741,346.271,498.062972104,NA,0.535832105263
CH-Dav,2007-07-23,14.575,221.719,321.544,8.285,83.074,0,2.922,14.575,221.719,321.544,8.285,371.957,453.874769375,6.40509,0.6665155
CH-Dav,2007-07-24,9.019,140.636,341.246,1.57,83.207,12.1,2.722,9.019,140.636,341.246,1.57,299.79,265.394966667,4.5225,0.540992468085
CH-Dav,2007-07-25,10.69,320.637,273.082,4.693,83.831,0,2.857,10.69,320.637,273.082,4.693,365.707,632.519445917,4.95289,0.5268823625
CH-Dav,2007-07-26,13.96,314.757,284.91,5.998,83.797,0,2.2,13.96,314.757,284.91,5.998,371.223,632.985882708,5.24522,0.405205797368
CH-Dav,2007-07-27,14.631,288.864,309.328,4.58,83.929,0,3.236,14.631,288.864,309.328,4.58,370.859,588.083721438,4.68999,0.613397934211
CH-Dav,2007-07-28,14.351,274.322,331.476,4.157,84.01,0,2.792,14.351,274.322,331.476,4.157,370.382,537.02849925,5.39129,0.51955705
CH-Dav,2007-07-29,12.815,251.779,312.423,4.403,83.783,0,2.503,12.815,251.779,312.423,4.403,371.557,503.518915917,6.03836,0.517671680952
CH-Dav,2007-07-30,7.495,206.176,293.59,2.666,83.643,2.1,3.421,7.495,206.176,293.59,2.666,347.923,379.861493667,5.12433,0.613089863636
CH-Dav,2007-07-31,7.139,317.798,235.047,4.993,83.722,0,2.462,7.139,317.798,235.047,4.993,370.261,622.704274979,4.59045,0.469050380952
CH-Dav,2007-08-01,12.878,312.839,262.714,9.58,83.747,0,2.54,12.878,312.839,262.714,9.58,370.742,623.701506937,4.30221,0.403748928205
CH-Dav,2007-08-02,11.8,159.167,313.571,4.06,83.795,6.7,2.247,11.8,159.167,313.571,4.06,358.307,320.60182775,2.04049,0.429851955556
CH-Dav,2007-08-03,7.623,82.295,330.696,0.715,84.126,9.1,1.402,7.623,82.295,330.696,0.715,347.408,161.996902688,0.712566,0.337140387805
CH-Dav,2007-08-04,10.66,302.937,271.075,4.26,84.375,0,2.307,10.66,302.937,271.075,4.26,367.286,605.389597896,3.3863,0.383575553333
CH-Dav,2007-08-05,14.553,303.852,274.851,8.606,83.978,0,2.196,14.553,303.852,274.851,8.606,373.959,606.691104952,1.60797,0.403788008333
CH-Dav,2007-08-06,15.851,298.787,286.687,9.922,83.614,0,2.291,15.851,298.787,286.687,9.922,375.312,603.5986785,3.16302,0.431413989744
CH-Dav,2007-08-07,12.813,156.139,337.784,2.97,83.458,8.3,2.5,12.813,156.139,337.784,2.97,361.554,334.679493688,1.92961,0.385798565
CH-Dav,2007-08-08,10.122,151.065,347.977,0.925,83.21,30.7,2.783,10.122,151.065,347.977,0.925,350.017,305.635938881,3.18869,0.473114425532
CH-Dav,2007-08-09,6.368,170.956,331.154,0.762,83.127,8.2,3.151,6.368,170.956,331.154,0.762,347.284,321.315888896,5.27066,0.506182775
CH-Dav,2007-08-10,6.978,163.529,331.154,1.261,83.319,0,2.416,6.978,163.529,331.154,1.261,364.193,326.302365354,5.53145,0.512611844444
CH-Dav,2007-08-11,9.181,126.231,334.541,1.113,83.462,0,1.561,9.181,126.231,334.541,1.113,366.041,263.318617271,5.56011,0.372915770732
CH-Dav,2007-08-12,12.55,282.888,305.454,4.632,83.388,0.2,2.462,12.55,282.888,305.454,4.632,367.476,533.119325596,4.90261,0.45091218
CH-Dav,2007-08-13,12.347,238.67,335.543,3.334,83.576,1.6,1.925,12.347,238.67,335.543,3.334,367.567,464.059588938,5.71232,0.40828175
CH-Dav,2007-08-14,13.235,193.921,331.656,3.549,83.69,2.3,1.743,13.235,193.921,331.656,3.549,363.21,388.680437479,5.84536,0.2887718625
CH-Dav,2007-08-15,17.228,289.234,323.07,9.573,83.648,0,2.099,17.228,289.234,323.07,9.573,374.795,591.782845167,5.48013,0.459703540541
CH-Dav,2007-08-16,12.303,91.232,342.142,2.706,83.544,17.1,3.647,12.303,91.232,342.142,2.706,352.278,236.565535292,4.55023,0.562898417391
CH-Dav,2007-08-17,7.455,65.325,336.428,0.678,83.911,2,1.736,7.455,65.325,336.428,0.678,340.112,130.296800792,4.70616,0.439082228571
CH-Dav,2007-08-18,9.868,266.564,298.256,2.249,83.699,0,2.384,9.868,266.564,298.256,2.249,361.249,533.440983437,6.00518,0.371135283333
CH-Dav,2007-08-19,9.905,163.759,321.537,2.103,83.391,5,1.829,9.905,163.759,321.537,2.103,357.053,324.258615875,6.91497,0.338684810256
CH-Dav,2007-08-20,7.485,95.731,342.031,0.481,82.913,5.2,2.355,7.485,95.731,342.031,0.481,354.923,199.362993083,4.10435,0.414858590476
CH-Dav,2007-08-21,7.751,109.52,329.285,1.106,82.749,0,1.643,7.751,109.52,329.285,1.106,358.059,216.616763208,6.573,0.293139755882
CH-Dav,2007-08-22,9.258,180.59,300.977,3.802,83.16,0,2.03,9.258,180.59,300.977,3.802,367.453,358.251027006,7.4047,0.39774697561
CH-Dav,2007-08-23,9.927,208.27,274.44,3.75,83.593,0,1.84,9.927,208.27,274.44,3.75,371.474,420.264490979,7.43083,0.365907789744
CH-Dav,2007-08-24,10.915,230.083,271.275,4.531,84.341,0,2.052,10.915,230.083,271.275,4.531,367.24,461.199330604,6.66019,0.382752042105
CH-Dav,2007-08-25,14.29,265.95,296.648,7.122,84.797,0,1.908,14.29,265.95,296.648,7.122,371.586,534.53381039,6.11185,0.40517835
CH-Dav,2007-08-26,14.736,219.775,291.321,7.165,84.765,0,2.089,14.736,219.775,291.321,7.165,370.818,447.402764598,5.55936,0.412093085366
CH-Dav,2007-08-27,14.058,102.379,333.219,4.818,84.334,0,1.455,14.058,102.379,333.219,4.818,373.207,211.629695125,4.36292,0.28273011875
CH-Dav,2007-08-28,11.569,75.552,340.665,1.964,83.946,14.3,1.895,11.569,75.552,340.665,1.964,363.971,149.928826479,4.0585,0.348408025641
CH-Dav,2007-08-29,10.512,73.7,345.938,1.002,83.543,15.4,1.784,10.512,73.7,345.938,1.002,370.058,151.026237458,5.77158,0.369464165854
CH-Dav,2007-08-30,8.316,78.946,343.554,0.652,83.524,18.1,2.053,8.316,78.946,343.554,0.652,359.504,159.584000021,4.64643,0.358478113953
CH-Dav,2007-08-31,7.515,225.428,307.717,1.761,83.854,0,2.508,7.515,225.428,307.717,1.761,358.804,421.156936234,4.6181,0.531657088636
CH-Dav,2007-09-01,8.097,149.166,317.316,1.781,84.02,0.1,2.215,8.097,149.166,317.316,1.781,353.656,292.827318604,4.17993,0.43645447619
CH-Dav,2007-09-02,8.982,251.198,271.143,3.297,83.925,0,2.176,8.982,251.198,271.143,3.297,362.689,499.275829229,3.6572,0.390862973171
CH-Dav,2007-09-03,9.228,195.812,317.527,2.753,83.535,7.2,2.815,9.228,195.812,317.527,2.753,355.365,368.215849574,3.85937,0.472216451163
CH-Dav,2007-09-04,2.063,103.94,312.37,0.849,83.621,6.4,3.228,2.063,103.94,312.37,0.849,314.232,194.765952083,4.05067,0.538574853659
CH-Dav,2007-09-05,0.274,90.967,305.894,0.892,84.091,1.2,3.321,0.274,90.967,305.894,0.892,331.671,195.556779146,4.47466,0.630788255319
CH-Dav,2007-09-06,2.36,167.151,296.581,1.9,84.16,0.2,2.446,2.36,167.151,296.581,1.9,352.008,99.4665278889,4.09776,0.550069865909
CH-Dav,2007-09-07,5.445,208.422,300.659,1.498,84.237,0.1,2.123,5.445,208.422,300.659,1.498,330.082,365.693007391,3.73918,0.430435418605
CH-Dav,2007-09-08,7.641,219.059,292.215,2.7,84.137,0,2.008,7.641,219.059,292.215,2.7,362.153,371.435129778,4.41024,0.38749975122
CH-Dav,2007-09-09,7.401,199.458,292.218,2.318,83.864,0,1.926,7.401,199.458,292.218,2.318,370.067,373.2868,3.82858,0.376465302564
CH-Dav,2007-09-10,7.744,215.136,269.786,4.836,83.674,1.6,3.339,7.744,215.136,269.786,4.836,364.496,431.055756667,4.14203,0.484910569444
CH-Dav,2007-09-11,5.028,137.948,291.574,1.843,83.792,7.6,3.085,5.028,137.948,291.574,1.843,338.723,251.710119149,3.04936,0.546462385106
CH-Dav,2007-09-12,6.007,237.2,230.095,3.817,84.156,0,2.585,6.007,237.2,230.095,3.817,366.251,462.217120833,3.43359,0.429416721622
CH-Dav,2007-09-13,9.064,233.285,240.431,6.467,84.229,0,2.276,9.064,233.285,240.431,6.467,368.23,459.672794167,2.93231,0.385317114286
CH-Dav,2007-09-14,10.494,176.356,284.878,4.898,84.134,0,1.765,10.494,176.356,284.878,4.898,368.028,324.60331234,3.57452,0.3757052125
CH-Dav,2007-09-15,10.296,171.721,302.263,3.178,84.278,0.7,1.857,10.296,171.721,302.263,3.178,350.506,345.070623333,3.04819,0.39935974359
CH-Dav,2007-09-16,12.434,218.027,276.46,6.396,84.092,0,1.834,12.434,218.027,276.46,6.396,370.604,434.708990833,3.7517,0.3709928
CH-Dav,2007-09-17,12.141,130.505,305.49,5.882,83.692,0.5,2.062,12.141,130.505,305.49,5.882,366.286,224.319858696,2.73106,0.373187095238
CH-Dav,2007-09-18,5.045,38.771,328.696,0.719,83.461,40.5,2.365,5.045,38.771,328.696,0.719,326.25,78.8718083333,1.90663,0.466190863636
CH-Dav,2007-09-19,2.646,223.733,248.975,1.856,84.016,0,1.445,2.646,223.733,248.975,1.856,363.057,382.903190435,5.28953,0.297023746341
CH-Dav,2007-09-20,5.464,205.102,233.15,3.899,84.204,0,1.997,5.464,205.102,233.15,3.899,371.158,406.6484075,4.3817,0.365039626471
CH-Dav,2007-09-21,9.247,210.517,253.587,5.691,84.341,0,1.829,9.247,210.517,253.587,5.691,372.029,419.379329167,4.29246,0.299202845
CH-Dav,2007-09-22,10.816,200.78,268.529,5.463,84.344,0,2.153,10.816,200.78,268.529,5.463,371.951,402.817445417,3.09235,0.403259320513
CH-Dav,2007-09-23,10.979,201.352,269.298,4.966,84.304,0,1.666,10.979,201.352,269.298,4.966,373.724,406.081355,2.81224,0.296635805128
CH-Dav,2007-09-24,11.042,203.743,260.664,5.392,83.927,0,1.985,11.042,203.743,260.664,5.392,373.531,388.182075447,3.3539,0.413992821212
