date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
2004-01-01,-0.013824375000000019,48,0,38.147666666666666,0
2004-01-02,0.7681020625,48,0,23.92470833333333,0
2004-01-03,0.6734708333333334,48,0,54.1161875,0
2004-01-04,-0.3218318125,48,0,41.66372916666667,0
2004-01-05,0.8407703333333333,48,0,17.442416666666666,0
2004-01-06,1.2180115625,48,0,40.5344375,0
2004-01-07,0.21477064583333333,48,0,31.582604166666666,0
2004-01-08,1.1069250833333333,48,0,58.363958333333336,0
2004-01-09,1.4433716041666667,48,0,11.917583333333333,0
2004-01-10,0.3642918958333333,48,0,27.607979166666667,0
2004-01-11,1.3928114375,48,0,10.728875,0
2004-01-12,1.6389533125,48,0,12.435229166666668,0
2004-01-13,0.7723818541666667,48,0,2.3048541666666664,0
2004-01-14,1.2692145625,48,0,49.086979166666666,0
2004-01-15,1.1185616875,48,0,25.5875625,0
2004-01-16,0.32778362499999997,48,0,23.155395833333333,0
2004-01-17,1.0895487291666666,48,0,37.944375,0
2004-01-18,1.0601994791666667,48,0,20.20675,0
2004-01-19,-0.0032492083333333552,48,0,50.8543125,0
2004-01-20,1.0293311250000001,48,0,10.43775,0
2004-01-21,0.927509375,48,0,50.5595,0
2004-01-22,-0.2667405416666666,48,0,78.13739583333333,0
2004-01-23,0.6769087500000001,48,0,78.92433333333334,0
2004-01-24,0.9103547291666667,48,0,66.32035416666666,0
2004-01-25,0.09371681249999998,48,0,47.674708333333335,0
2004-01-26,0.7781762083333333,48,0,27.0946875,0
2004-01-27,1.0359522916666666,48,0,27.3000625,0
2004-01-28,-0.12860458333333333,48,0,50.252229166666666,0
2004-01-29,0.6505556041666667,48,0,37.47666666666667,0
2004-01-30,0.8890621666666667,48,0,92.73341666666667,0
2004-01-31,0.366583375,48,0,87.38725,0
2004-02-01,1.3982417291666667,48,0,87.25489583333334,0
2004-02-02,1.5828277291666666,48,0,81.51545833333333,0
2004-02-03,0.4761105833333334,48,0,97.6946875,0
2004-02-04,1.3007435416666666,48,0,100.0743125,0
2004-02-05,1.5545833333333334,48,0,102.75495833333333,0
2004-02-06,0.74111025,48,0,96.40225,0
2004-02-07,1.4786560833333333,48,0,59.356875,0
2004-02-08,1.2436347916666666,48,0,28.886125,0
2004-02-09,0.030488187500000007,48,0,81.22191666666667,0
2004-02-10,0.863309375,48,0,108.39464583333334,0
2004-02-11,1.126792625,48,0,18.261104166666666,0
2004-02-12,0.14887360416666667,48,0,85.52077083333333,0
2004-02-13,0.96628725,48,0,99.9541875,0
2004-02-14,1.2388103541666666,48,0,104.22329166666667,0
2004-02-15,0.20788281250000004,48,0,92.12685416666666,0
2004-02-16,1.0673636666666666,48,0,116.4269375,0
2004-02-17,1.243243625,48,0,121.79683333333334,0
2004-02-18,0.16321947916666668,48,0,84.27916666666667,0
2004-02-19,0.9124204583333333,48,0,82.064125,0
2004-02-20,1.2339149791666666,48,0,124.6314375,0
2004-02-21,0.6203531458333333,48,0,72.3245625,0
2004-02-22,1.4633708333333333,48,0,47.76622916666667,0
2004-02-23,0.9557240208333333,48,0,38.2740625,0
2004-02-24,-0.23610483333333335,48,0,126.84427083333334,0
2004-02-25,0.7542967291666667,48,0,141.4776875,0
2004-02-26,0.8941438958333333,48,0,71.52464583333334,0
2004-02-27,-0.24538064583333336,48,0,115.59902083333334,0
2004-02-28,0.5479605208333334,48,0,148.84220833333333,0
2004-02-29,0.7335274791666666,48,0,148.8421875,0
2004-03-01,-0.227478625,48,0,134.11025,0
2004-03-02,0.6471971875,48,0,76.15283333333333,0
2004-03-03,1.0774519791666666,48,0,156.15360416666667,0
2004-03-04,0.2040168125,48,0,140.04460416666666,0
2004-03-05,1.1406275208333334,48,0,118.4463125,0
2004-03-06,1.355596625,48,0,42.183083333333336,0
2004-03-07,0.17225135416666665,48,0,133.43977083333334,0
2004-03-08,0.9063008125,48,0,98.29975,0
2004-03-09,0.983435625,48,0,143.81129166666668,0
2004-03-10,0.020156062499999967,48,0,135.32189583333334,0
2004-03-11,0.8418787083333333,48,0,112.44835416666666,0
2004-03-12,1.412438875,48,0,124.5139375,0
2004-03-13,0.5339455625,48,0,49.31727083333333,0
2004-03-14,1.4800496666666667,48,0,157.3403125,0
2004-03-15,1.6774927708333334,48,0,188.1571875,0
2004-03-16,0.8087871458333333,48,0,194.4554375,0
2004-03-17,1.7438088958333333,48,0,199.300375,0
2004-03-18,1.9450387500000001,48,0,196.64604166666666,0
2004-03-19,0.8683616458333333,48,0,174.0899375,0
